driverId,week,hours-logged,miles-logged
700,37,69,200
553,51,77,3200
641,20,69,900
973,45,59,3300
81,21,54,1500
714,33,80,3400
278,52,71,1100
413,6,59,3700
159,19,55,700
532,35,57,300
943,38,69,1200
94,14,68,900
556,1,75,3800
168,32,79,3500
435,49,73,1300
621,8,72,1200
342,47,68,2700
18,48,79,3200
541,23,75,300
811,31,54,2000
45,2,68,400
384,49,66,1700
110,37,66,800
657,32,70,2700
720,22,72,1500
746,43,67,3200
548,22,70,900
14,46,69,2300
609,20,69,2200
172,18,68,2600
702,9,54,2900
988,42,56,2500
381,12,52,3900
361,47,60,300
855,5,75,500
333,3,72,2100
501,39,65,2700
470,31,66,1600
348,13,50,3100
689,43,53,3700
497,32,79,800
713,1,73,200
78,21,64,2100
38,42,50,3400
404,12,54,200
322,29,69,1400
863,15,67,300
768,11,50,2200
512,32,79,2200
980,21,68,2400
302,44,50,1800
420,49,56,1000
328,8,76,1100
285,51,63,1400
366,19,80,3400
150,13,58,3900
234,25,52,1600
27,19,78,3100
708,38,76,900
697,50,73,2800
996,38,73,1300
314,36,77,2400
940,32,54,1400
922,46,80,3700
608,20,73,3900
942,32,71,3700
880,33,75,200
307,27,52,3000
498,7,70,2700
477,3,64,3600
811,24,61,2100
485,2,62,3100
212,26,80,2100
66,7,55,2400
16,28,78,2500
985,12,75,800
621,34,50,2200
350,44,55,800
171,46,61,1200
936,26,70,3600
293,42,79,1000
315,5,76,1600
838,24,77,3000
719,47,68,500
821,11,55,3600
789,10,72,2900
776,40,55,2900
390,14,66,1100
475,25,66,2200
144,17,78,2100
938,34,60,3200
121,46,68,1500
871,36,51,3400
707,42,77,1600
824,43,67,1500
239,21,53,1300
618,18,53,200
731,8,71,3500
407,37,57,400
769,41,51,1400
987,34,63,900
212,7,54,1200
354,49,79,2800
840,20,61,3900
957,2,80,3300
420,26,69,400
861,20,59,1200
320,27,58,300
916,49,61,3300
97,52,51,2000
364,18,73,1000
782,15,53,700
678,37,57,2800
388,19,80,2100
379,39,80,3700
704,22,64,2400
903,4,74,3200
947,19,59,400
83,7,60,3500
933,48,72,2900
696,34,50,1600
357,34,70,500
556,45,69,200
284,45,69,2900
842,35,80,200
42,17,78,2200
781,9,79,100
943,38,65,2700
930,49,75,3400
683,39,56,1100
561,43,69,1200
888,30,58,2200
347,44,72,1000
115,50,52,4000
838,1,71,2500
356,39,54,200
496,11,70,3400
198,42,53,3200
869,51,64,1700
591,39,50,2200
790,47,80,3300
556,25,68,3800
417,36,76,0
336,14,61,1000
217,25,66,1800
798,38,74,4000
201,15,63,2200
502,19,74,3500
285,2,69,1600
479,28,57,1000
970,27,69,3600
751,38,65,3300
222,18,71,2500
95,36,57,1200
393,5,65,1100
534,7,66,3000
373,4,67,3400
100,4,63,2600
785,2,51,700
621,35,67,100
911,28,70,1100
552,15,63,800
161,19,64,1400
344,51,72,1300
823,12,54,1200
11,29,65,3200
370,52,69,300
213,13,61,4000
440,37,53,3500
583,39,79,1400
979,20,57,100
694,29,74,2600
137,22,60,3200
273,5,78,3900
287,32,67,3700
37,28,54,3500
615,28,79,2700
822,46,63,3300
1007,18,50,3900
523,24,70,400
46,36,52,2900
361,40,66,1200
122,2,73,1700
968,38,68,3100
832,4,72,1400
485,2,76,1500
227,47,64,3400
333,28,60,2400
755,51,67,2800
644,39,64,3900
545,48,77,1400
47,25,78,2200
298,46,73,1500
833,20,66,3500
92,43,58,2100
697,9,74,0
804,23,64,3700
257,27,58,2500
917,32,55,2700
16,26,52,1900
11,22,56,600
66,37,77,1700
182,39,55,100
580,31,50,1700
550,52,80,3600
994,12,71,4000
314,25,58,1200
671,52,50,900
404,9,66,700
145,8,80,1000
134,1,74,3000
632,47,69,2700
736,26,76,2400
57,46,55,2500
18,34,73,2200
428,39,77,1600
686,38,62,3100
736,37,60,2600
710,14,57,3100
339,34,72,1100
52,49,74,3200
249,30,62,900
445,17,76,1400
843,12,78,0
13,17,69,600
144,20,59,3100
610,52,59,2300
678,24,72,2300
164,51,57,1200
834,45,64,2000
375,15,50,2500
28,16,80,3900
83,5,65,4000
880,39,72,3500
876,10,80,1000
20,1,54,1900
34,37,60,2100
92,33,70,2900
249,23,72,500
650,10,79,1600
270,5,70,2800
285,31,78,2300
210,33,75,2000
605,48,53,900
797,1,72,1200
900,50,69,1200
414,49,79,500
384,51,59,1400
297,35,71,500
228,30,58,2200
971,16,76,1800
162,4,63,3200
874,6,52,0
32,26,65,3300
761,31,76,1400
624,51,54,2700
142,19,72,3400
708,19,80,0
361,32,61,300
175,49,68,2400
933,14,57,1600
88,2,61,2500
384,9,60,2000
792,48,61,500
587,12,65,4000
816,25,53,2100
566,8,79,1100
283,42,67,600
681,14,60,3000
586,27,56,1700
236,13,56,2500
810,30,77,2600
262,34,70,100
405,45,79,3300
641,50,51,2800
664,27,78,1100
422,26,69,3200
74,16,78,1900
674,19,80,2600
628,47,76,2800
353,40,63,1900
271,20,51,3600
888,43,62,1100
426,33,52,2600
238,45,52,3300
127,32,70,3000
733,17,73,2500
431,8,79,3100
594,31,78,2200
417,29,53,3200
226,16,70,3900
970,37,68,1600
827,20,72,1900
394,23,67,2500
517,3,77,1400
511,7,70,2000
1005,12,78,600
901,16,52,1400
378,12,64,2000
189,27,66,1800
252,26,58,1400
34,10,67,2600
462,38,78,3900
712,40,51,300
90,37,68,2300
654,5,64,2600
923,42,58,300
576,8,79,700
56,18,51,2600
75,45,53,2400
845,20,53,3200
39,36,53,3400
819,41,66,200
312,3,54,2200
254,37,65,4000
759,17,61,500
710,45,80,500
99,34,68,2300
393,4,52,3100
415,23,65,2700
218,36,71,2500
590,5,70,3100
612,51,54,800
783,25,52,700
59,41,54,2600
961,38,78,1900
117,2,72,2500
550,8,64,1200
589,35,68,3700
942,13,74,3000
673,27,79,2400
836,4,75,2200
243,14,68,3800
727,28,68,3100
86,52,51,2200
402,7,75,1400
840,22,71,1100
379,27,68,2100
429,30,75,1300
132,1,66,4000
967,52,63,700
36,23,52,700
657,31,79,2100
55,14,79,2300
135,30,70,200
213,2,78,2000
483,2,66,2300
186,47,60,500
458,24,70,2000
733,34,72,3000
638,25,53,400
949,6,69,200
165,37,51,1500
108,22,69,1400
602,30,62,400
879,33,53,2800
710,38,64,1900
995,26,62,2100
500,21,55,600
516,47,60,1400
995,1,59,2200
798,5,69,1200
957,29,67,1500
939,30,77,400
470,46,80,800
974,23,60,900
288,13,65,400
365,37,55,2700
699,18,50,1200
518,50,54,900
984,6,65,1800
401,5,52,3800
827,16,51,1300
956,20,60,1700
414,5,59,1900
529,39,60,700
505,8,79,100
572,23,75,800
856,24,54,2800
197,44,51,2500
889,20,72,1000
519,49,51,3300
73,50,78,1400
815,14,52,2600
177,29,63,1700
649,51,72,0
834,34,69,2200
871,22,69,300
986,2,56,2900
253,11,78,2100
310,38,60,2000
407,15,66,2300
843,45,59,1300
66,2,68,600
288,6,60,3400
659,30,74,2700
428,17,67,800
376,5,78,3700
653,35,72,2300
111,34,54,1800
109,49,68,1700
708,18,69,2600
1009,20,63,0
187,45,57,2000
722,31,58,500
625,26,55,100
518,42,65,3900
903,20,63,300
974,12,52,2900
326,39,71,2500
780,5,64,400
254,27,73,2500
794,18,73,3800
439,33,75,3500
718,2,62,1300
163,44,51,2000
975,33,64,1000
371,1,59,1300
843,19,66,3200
352,42,64,1900
341,43,73,0
1009,27,80,0
843,38,60,3600
695,6,59,1300
281,39,77,2200
442,31,75,2700
941,26,61,3700
365,42,79,1400
227,19,68,100
317,39,79,2200
632,9,65,2500
422,42,58,3100
213,5,60,2400
522,39,68,200
204,13,64,2700
430,43,69,2500
297,39,72,1500
253,49,50,700
321,36,74,3100
560,46,69,500
950,36,59,900
950,8,74,1600
355,7,58,3900
13,32,52,800
1005,13,53,4000
325,49,52,2900
744,15,58,1700
732,42,77,2500
380,4,63,600
59,10,50,2200
601,15,75,800
713,7,60,300
368,3,73,3900
875,9,51,1500
71,29,79,1000
956,11,73,3200
787,30,77,0
47,51,66,3200
354,17,68,0
631,50,58,2900
216,15,70,3900
445,15,52,2400
847,24,65,800
587,41,75,300
332,12,76,3700
281,6,58,2500
980,32,60,1000
191,32,72,3100
74,46,73,200
329,46,62,2900
1009,30,55,1200
328,6,58,1100
489,11,75,1400
319,30,60,2800
841,26,75,1900
987,1,51,3600
784,28,69,3500
761,46,54,3400
220,24,60,0
498,45,51,1400
706,28,76,2400
68,43,73,200
99,4,67,2400
76,44,69,1300
60,14,63,1100
728,40,74,1700
92,7,78,500
678,26,66,1600
102,15,74,3600
84,4,79,1800
615,22,79,1900
94,8,53,100
661,50,61,1300
268,42,75,1800
944,42,75,0
933,14,71,100
389,44,75,700
660,41,70,3700
359,31,62,3600
1004,42,70,1700
473,34,78,1700
407,22,56,1000
888,11,71,2100
919,34,52,1400
758,30,63,2200
745,3,74,3100
639,39,59,0
820,38,65,500
822,51,59,2500
703,18,63,3500
867,50,67,1100
332,20,80,3300
553,1,67,2300
587,12,64,2200
59,44,63,3900
402,47,54,4000
602,21,75,2500
566,17,55,2200
502,46,77,700
858,12,54,1300
641,40,65,3500
937,37,58,3700
864,28,70,1800
288,44,53,3100
157,15,70,1500
912,21,55,1600
260,18,68,2500
816,24,73,2200
902,3,74,1900
217,35,53,800
115,52,55,2800
528,34,62,800
176,17,64,3900
789,40,61,1300
129,20,56,600
158,40,62,1200
137,49,68,3300
293,20,56,1200
614,1,65,1100
395,44,74,300
794,48,53,3400
934,25,74,500
174,23,70,2100
427,31,65,1400
691,50,58,700
701,37,66,1700
144,50,63,3600
828,41,51,1200
176,34,74,1000
116,9,69,700
571,15,54,2200
726,11,75,2500
290,34,52,1600
265,52,75,2500
112,10,75,1800
91,8,76,2800
115,21,68,1000
725,43,57,1200
137,25,78,2700
735,21,55,0
459,15,65,600
865,36,56,3200
442,34,69,3500
337,10,72,3100
631,51,59,4000
341,3,50,2400
224,35,71,600
41,38,58,600
552,30,53,300
896,50,80,200
152,28,59,3300
648,33,51,2100
958,41,78,2600
607,19,51,1300
206,50,66,3600
871,46,79,3900
143,14,64,400
355,18,71,600
366,48,74,1200
523,20,61,1200
879,13,75,2500
929,42,54,3800
148,26,66,1000
947,46,80,3800
432,32,72,1800
136,4,68,500
760,39,74,2700
922,1,70,2700
407,37,54,1400
95,35,53,2600
814,2,71,1900
388,7,55,200
782,10,61,800
613,43,71,600
542,5,62,1600
501,37,67,3400
586,41,66,1900
923,46,66,2700
417,49,67,800
635,43,55,400
981,46,62,2400
